qnum,question,mode,semantic_score,graph_score,delta,semantic_status,graph_status,graph_available,graph_mismatches,graph_meta_mismatch
1,Which documents do I need to bring to passport control in Paris?,single,0.1497005988023952,1.0,-0.8502994011976048,🟥,🟩,True,,
2,Which documents do I need to bring to passport control in France?,single,0.06976744186046512,1.0,-0.9302325581395349,🟥,🟩,True,,
3,Which question topics are most common at passport control in France?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
4,In which country are the most documents requested?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,scope
5,In which city in France is a return ticket requested most often?,aggregate,НЕ ОК,НЕ ОК,,🟥,🟥,True,aggregate_output,"intents, aggregate"
6,How often are fingerprints taken when entering France?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
7,What documents are checked at passport control and what questions are asked in Paris?,union,0.16847826086956522,1.0,-0.8315217391304348,🟥,🟩,True,,
8,"Which documents are checked in Paris, but not in Nice?",difference,0.06626506024096386,1.0,-0.9337349397590361,🟥,🟩,True,,
9,Which documents are checked for travelers who were asked about cash amount in France?,conditional,0.44067796610169496,1.0,-0.559322033898305,🟥,🟩,True,,
10,Which question topics are asked of travelers whose visa was checked in France?,conditional,0.12345679012345678,1.0,-0.8765432098765432,🟥,🟩,True,,
11,Show document checks and question topics for the same encounters in Paris.,intersect,0.1893491124260355,1.0,-0.8106508875739645,🟥,🟩,True,,
12,Which documents are checked and which biometric modalities are used in France?,union,0.09142857142857141,1.0,-0.9085714285714286,🟥,🟩,True,,
13,Which question topics and biometric modalities are used in France?,union,0.12154696132596686,1.0,-0.8784530386740331,🟥,🟩,True,,"topic_keys, biometric_modalities"
14,Which biometric modalities are used at passport control in France?,single,0.12499999999999997,1.0,-0.875,🟥,🟩,True,,biometric_modalities
15,Which question topics are asked at passport control in France?,single,0.05063291139240506,НЕ ОК,,🟥,🟥,True,aggregate_output(no_gold),"mode, topic_keys, aggregate"
16,Which documents do I need to bring to passport control in Nice?,single,0.17721518987341772,1.0,-0.8227848101265822,🟥,🟩,True,,
17,Which documents do I need to bring to passport control in Germany?,single,0.04004711425206125,1.0,-0.9599528857479388,🟥,🟩,True,,
18,In which city in France are the most documents requested?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
19,In which country are the fewest documents requested?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
20,In which country is hotel booking requested most often?,aggregate,НЕ ОК,НЕ ОК,,🟥,🟥,True,aggregate_output,"intents, scope, doc_types, aggregate"
21,In which country is a return ticket requested most often?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
22,In which country are people most often asked about money?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,topic_keys
23,Which question topics are most common at passport control in Germany?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,topic_keys
24,How often are fingerprints taken when entering Germany?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
25,Which airport do people most often fly into in France?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
26,Which city is the most popular entry point into France?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
27,In which country do travellers most often pass through passport control with no questions asked?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
28,Where is passport control usually just a passport check?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
29,Which documents do I need to bring to passport control in Nice?,single,0.175,1.0,-0.825,🟥,🟩,True,,
30,Which documents do I need to bring to passport control in Lyon?,single,0.3428571428571428,1.0,-0.6571428571428573,🟥,🟩,True,,
31,Which documents do I need to bring to passport control in Marseille?,single,0.42105263157894735,1.0,-0.5789473684210527,🟥,🟩,True,,
32,Which documents do I need to bring to passport control in Toulouse?,single,0.0,1.0,-1.0,🟥,🟩,True,,
33,Which documents do I need to bring to passport control in Berlin?,single,0.15668202764976957,1.0,-0.8433179723502304,🟥,🟩,True,,
34,Which documents do I need to bring to passport control in Munich?,single,0.11891891891891893,1.0,-0.8810810810810811,🟥,🟩,True,,
35,Which documents do I need to bring to passport control in Frankfurt?,single,0.1837837837837838,1.0,-0.8162162162162162,🟥,🟩,True,,
36,Which documents do I need to bring to passport control in Dusseldorf?,single,0.1574803149606299,1.0,-0.8425196850393701,🟥,🟩,True,,
37,Which documents do I need to bring to passport control in Stuttgart?,single,0.1935483870967742,1.0,-0.8064516129032258,🟥,🟩,True,,
38,Which documents do I need to bring to passport control in Rome?,single,0.18965517241379312,1.0,-0.8103448275862069,🟥,🟩,True,,
39,Which documents do I need to bring to passport control in Milan?,single,0.25925925925925924,1.0,-0.7407407407407407,🟥,🟩,True,,
40,Which documents do I need to bring to passport control in Venice?,single,0.425,1.0,-0.575,🟥,🟩,True,,
41,Which documents do I need to bring to passport control in Bologna?,single,0.2926829268292683,1.0,-0.7073170731707317,🟥,🟩,True,,
42,Which documents do I need to bring to passport control in Bari?,single,0.4,1.0,-0.6,🟥,🟩,True,,
43,Which documents do I need to bring to passport control in Barcelona?,single,0.35714285714285715,1.0,-0.6428571428571428,🟥,🟩,True,,
44,Which documents do I need to bring to passport control in Malaga?,single,0.5454545454545454,1.0,-0.4545454545454546,🟥,🟩,True,,
45,Which documents do I need to bring to passport control in Madrid?,single,0.5128205128205129,1.0,-0.4871794871794871,🟥,🟩,True,,
